model_name,mae,rmse,miou,bf_score,gt_elev_mean,gt_elev_median,gt_elev_std,pred_elev_mean,pred_elev_median,pred_elev_std,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,iou_class_9,iou_class_10,iou_class_11
all357_cnn,1.2835129606069615,1.7512675565430909,0.3008665593331689,0.4526960529312964,1.2980435,1.2540584,0.7960559,0.8901595,0.62653136,0.8326405,,0.7846994968159346,0.6224037642819428,0.22622506266769665,0.022443689599526154,0.10587907458902573,0.1696452684225301,,0.08097373896439271,,0.1899631948300385,0.07013136807432427
all357_deeplabv3p,1.4197468247504965,1.8364855074929747,0.3313680056557084,0.41818779157812913,1.2980435,1.2540584,0.7960559,0.4943152,0.3020673,0.7138118,,0.780610245692162,0.626352228451811,0.25460872825424785,0.06210363768108475,0.022030429438425862,0.1813351679496081,,0.07163872576693764,,0.20066199223075754,0.13885427333169278
all357_unet,1.3101793427735464,1.7810651677058755,0.29111327593734443,0.4160307115383429,1.2980435,1.2540584,0.7960559,0.7865255,0.571748,0.9114843,,0.7485848949402456,0.6010727913411738,0.24372829750573938,0.020843960012821516,0.10096233666713852,0.1286352256823796,,0.044325406383544534,,0.20925649644059033,0.11361587797831034
all357_unet_attention,1.4257890739743029,1.8433007949539852,0.3065971540608144,0.44506514861756835,1.2980435,1.2540584,0.7960559,1.0899732,0.8210542,0.9097457,,0.7562656940582033,0.6088919421853836,0.21193376685547338,0.05182540986284723,0.0004400983952612835,0.1536046232814161,,0.05732398950546341,,0.1920852408545846,0.119676442648371
input_inpaint,0.29425302025724065,0.7154877150334694,0.41341402050978576,0.5867948561491286,1.2966658,1.252662,0.7953525,1.5472263,1.2881384,0.73405695,0.0,0.8973920271323569,0.7923844616146238,0.26064287135686026,0.18511489339644055,0.13102579905976974,0.22748747385591933,,0.1585808650059282,,0.20125748546396505,0.16518952814807547
input_raw,25.65758043377488,49.729988245787446,0.41341402050978576,0.5867948561491286,1.2966658,1.252662,0.7953525,-24.279184,-0.12967408,42.150505,0.0,0.8973920271323569,0.7923844616146238,0.26064287135686026,0.18511489339644055,0.13102579905976974,0.22748747385591933,,0.1585808650059282,,0.20125748546396505,0.16518952814807547
